id,target_air,target_value,target_phase
f56f280d0ce0,0,13975.0,2
9ee116a532f3,1,18875.0,3
97232619280c,0,7950.0,2
22dfe7834392,0,400.0,3
c075db156995,0,6800.0,0
ad1cd983f6ed,0,2625.0,3
5f22a169c7c4,0,10525.0,0
86c1ee7348ff,1,5750.0,1
7e84380c23cd,1,5050.0,1
507b2504c636,1,2075.0,2
2acb94047a13,1,15550.0,0
c87917855ab0,0,2100.0,0
ebb06a018f6a,0,2400.0,0
d308b0fd2736,0,1800.0,1
0807c25790ed,1,14300.0,3
15f11fa3197c,0,925.0,3
4d1b45e1507a,1,7700.0,1
ddca8e601a61,0,7325.0,1
3ceeab2f0df9,0,2900.0,0
201118df38d4,0,6200.0,2
0876abbca060,0,5750.0,1
606800826113,0,2725.0,0
7db9111819ae,0,47950.0,3
0151f5dc8be3,0,2025.0,0
8c401e2551fc,1,10450.0,1
b547dcc241ea,1,9800.0,2
1aa6c2c39e77,0,750.0,0
dbbb1481d2c3,1,33375.0,3
23e4f0b09522,0,3850.0,3
4a3569248aa0,1,1775.0,1
94560b501b8d,0,900.0,1
f4b6ad879ec4,0,3700.0,1
c1ae3d7f8d2c,0,13000.0,3
31094a95c209,0,4475.0,2
a82097d27859,0,8500.0,3
ec1ac1a3107f,1,13550.0,3
66685182948f,1,8150.0,1
00b694955f12,1,1400.0,1
b3d8652d1d6e,1,700.0,1
30dba6c95195,0,5425.0,0
b35e052fc311,1,16600.0,2
9e2dcc80ab5c,0,6900.0,3
ab5afae1f375,1,7400.0,2
699695347392,0,4575.0,3
7d02f1d055b7,1,5300.0,2
540dd53ef291,0,3100.0,1
266ca8bd1a9f,0,10725.0,2
5b8be7f35b14,0,17300.0,3
1b4ddbc6c0d9,0,2400.0,0
655fb1b018df,0,2925.0,1
baa5c80db28e,0,5875.0,2
50711c962cfe,0,23500.0,3
0760c255a295,0,7100.0,3
3b009d1c3c77,0,250.0,0
726bb713e6d0,1,850.0,2
6f99b931ce7e,0,2100.0,1
834ed46256f0,1,1050.0,1
13ef084501a0,0,2000.0,2
e1d884e11dd0,0,6625.0,3
0ecb792a0bbe,0,13900.0,2
768a81915f63,1,8100.0,2
2d457bc5c37d,0,23100.0,3
4a454ef2fb93,0,29650.0,3
653885f4efe0,0,2025.0,1
c5a36c5b416e,1,2900.0,2
99c790f2778a,0,600.0,1
554f488a5cd3,0,5700.0,2
2e159c126dfb,0,10525.0,3
2ced729c3ef1,0,2150.0,2
a71d35d7638e,1,3375.0,1
7e5692b10b2f,0,6500.0,2
faa44beafdb5,0,3650.0,3
249ea0850bc5,1,4850.0,1
9679299a3c82,0,4950.0,2
2f8dfd9deb32,0,0.0,0
94add8a402aa,0,550.0,2
b6238dbf837d,0,33950.0,2
e861236a688e,0,1675.0,0
d29efa3466e8,0,700.0,0
19282e2afea9,0,8200.0,3
37e2b03743c8,0,3700.0,1
886cd94fc2ce,0,1950.0,2
222d4f73ae4e,1,1500.0,0
dfd0f41411ec,0,22850.0,2
2b5760ef14f8,1,4850.0,1
76f68a928331,0,150.0,2
a4ed0a31d821,0,200.0,1
a5fb69cf8792,0,0.0,1
6c3c285d85f0,0,575.0,0
dcb88f1810af,0,13600.0,2
bcfdcb26e13c,1,3275.0,1
072a20cdf15b,0,4700.0,1
0e2e7d7325be,0,3725.0,3
7c96590ba6d3,1,8275.0,1
8660755a792d,1,2750.0,1
101ddf216840,0,450.0,1
b8958692fe3c,0,11175.0,1
6e78c8742785,0,200.0,1
ceb8472a02f3,0,1450.0,1
6a43a22edafc,1,14100.0,1
e2ff3eed5fa5,0,0.0,0
63541c5d473a,0,13175.0,1
cdb53143c7be,1,5825.0,1
b90f955a7a01,0,5700.0,2
7c7758d489b5,1,800.0,1
6fa3bbc2eec7,0,24000.0,3
0cd5fa0c35c5,0,27250.0,2
c38822163585,1,1675.0,2
76cb772f9a0d,0,1050.0,1
f8172c12268b,1,9575.0,1
4c7881f34930,1,1100.0,1
b00d7ddada3a,1,1925.0,3
01e01b6ae250,0,6700.0,2
6cad8ae07a0f,1,1500.0,1
11db7f420ed7,0,8250.0,3
33b662158332,1,10200.0,2
5eca92ae4685,0,15325.0,3
f5ab10c206a2,1,17225.0,2
797a10762c36,1,2150.0,3
fa3463eec9be,1,19500.0,1
0e3eeb824eb4,0,12125.0,3
6f99c1b19eb3,1,6900.0,2
e5108b77eba0,0,4775.0,2
48d7316d1a3e,0,3950.0,2
5eace6cc73a0,0,15175.0,3
5a8b22a3946a,1,13700.0,2
5e3d9aabcf22,0,475.0,2
b3be482140a1,0,2950.0,1
8d48dd4a8751,1,8825.0,3
6d621adb24d1,1,1500.0,0
3d4700289009,0,650.0,0
bf73405ea6c8,1,76050.0,3
1b0b2f3f6375,1,10500.0,2
ef9062f89d40,0,2000.0,3
cc5ebab1aaf2,0,1900.0,1
385c4e9254bf,0,1275.0,3
58fc480697c0,1,46675.0,2
83f2c5fea751,0,13375.0,2
690d182ca0ab,0,4100.0,3
da41a9a32ed2,1,5650.0,1
a812a220dc50,0,0.0,0
09414c0c6876,0,15450.0,2
819a0a7bf5da,0,34200.0,2
19ba50522ba8,0,4400.0,3
7a8220df92f4,0,1300.0,3
a06629c681c1,0,1625.0,1
e6e937a622c9,0,9550.0,1
ec481ea0b0a2,0,2450.0,0
832091a52111,1,14975.0,3
7bdf87b6e4f4,0,2675.0,2
f5aeb2177e13,0,21850.0,3
5b826cac20e6,1,2000.0,1
635efa0aa836,1,1400.0,3
2f0d43c51740,1,1975.0,0
616d671b33e0,1,4650.0,0
d2fbecc3d21a,1,1625.0,2
709a635c3e8d,0,3000.0,2
4f197919560e,1,13100.0,3
f62d2cca34ab,1,3275.0,2
4a2a815449f2,1,2850.0,0
017bcc99ee92,0,1700.0,1
7b304e2b6227,0,3100.0,2
8b8a7dd0e603,0,2100.0,1
5ff447a0c420,0,550.0,1
a6f2ac0f108f,0,250.0,1
b418ecba4eee,0,5925.0,3
a8e6fa3583bf,0,600.0,0
fc917b5e5985,1,20350.0,3
cfc4d2bfc4ab,0,15500.0,3
3c49f21e0982,1,2200.0,3
e030a2c9c0ae,0,1825.0,1
5150b8627d3c,0,925.0,0
e0ee3bf5340c,0,2425.0,3
9c1b4b170a26,0,2950.0,1
8596f5daba8d,1,16050.0,2
ef47b9e7321d,0,7750.0,1
83db3c9152d6,0,8450.0,3
d9e896c45bba,1,1100.0,0
545f7df963df,0,11450.0,1
96e79ce8e69e,1,9500.0,1
ca6769548a1e,0,1175.0,2
f8bc2c36ad9d,1,11625.0,3
da3fe7d1e202,0,7550.0,3
f2802432c696,1,8600.0,1
91678def821e,0,16600.0,1
81d4de3139c3,1,5400.0,1
10a9b47773e8,1,4350.0,2
6442d03e89ba,0,9725.0,3
ee5fcbcc4783,1,2750.0,1
ff3465fc5bce,1,15000.0,1
ffc7f621c947,0,4875.0,3
a98d4946b897,1,8100.0,0
a7ed275f1318,1,1750.0,0
303d0ee6101e,1,2950.0,3
2d69144a257a,1,7350.0,2
5e7cbf79d6bb,0,600.0,1
b2782f792f43,0,43600.0,3
4a972cc54766,1,1650.0,0
cdd02aebe287,1,1750.0,1
e062d4337a7a,1,1225.0,1
385089d4645d,1,1600.0,1
c8ed1a33502a,0,16300.0,3
e69d4461b9b0,1,400.0,0
c0f129619de9,1,11100.0,1
6f4e08513988,0,1500.0,3
ffb8d83c1e08,1,14050.0,2
8eb2460b30fe,1,23400.0,2
2c9e68f27a50,1,1000.0,0
dc258cf1956b,1,11500.0,3
e68614af506e,0,14875.0,2
90b44d3d7ce2,1,2050.0,0
85ed22b44a73,0,800.0,0
fd938e392bd3,0,550.0,0
43cabffb15e6,1,8350.0,3
d330cc3add12,0,6100.0,1
9bc0e55518dd,1,2825.0,0
8e315f308eeb,0,1550.0,1
9fd116d31571,1,6050.0,2
42ec9b28b2f2,0,2025.0,3
dc71572438c7,1,1425.0,3
31e7097504b2,1,11675.0,3
9c2246f339cc,0,2450.0,2
1e9262f0ba75,1,2525.0,0
a12b88c8570d,0,150.0,0
4817ebc5814f,0,625.0,0
2f48abaf5ee8,1,6725.0,3
9f5c91c1d976,0,4975.0,2
4f1bab1f327c,1,3600.0,3
9815c69f03af,0,25775.0,1
f086d1af4a70,1,9025.0,1
1a3fe205a7d6,0,3325.0,3
5c2a28e15219,0,10575.0,3
291d8df24c59,1,15700.0,3
dea9330e1a79,1,2000.0,1
4f8656a59762,1,18300.0,2
574d81ad5484,1,1925.0,1
841e64c006a0,1,8325.0,3
df89d7737018,1,3225.0,2
7d471d604936,1,1800.0,2
ae14d1e69453,1,2200.0,0
66d18c99333e,0,1800.0,0
a3ad020b37f5,0,1350.0,1
444d5c0a0a0b,0,5450.0,2
121b495e383b,1,12425.0,3
0015a1579d27,1,16650.0,1
a3c4d888d409,0,10225.0,1
685b639e71e2,1,3750.0,1
254b1f3ae4aa,0,1850.0,0
f616f53e3950,0,100.0,1
098c87add334,0,2900.0,1
08ab6a8adb1d,0,20925.0,2
d718d4260f10,1,4800.0,2
2e45e3787e76,1,10850.0,3
897aeea96ab3,0,20650.0,3
c749fcae47ce,0,1225.0,1
eceabcd92eb9,0,1550.0,2
d40ce5bf1d22,0,200.0,0
835996862a1c,0,23100.0,2
3ae00d402f26,0,14100.0,3
f8f3e0f05e12,1,6725.0,2
5f286e01273d,1,5300.0,1
058cddf7deaa,1,11800.0,3
ef381e2f96d9,0,3450.0,2
082ca407bf9b,0,11150.0,3
8f1db9e18817,0,2325.0,0
6035f6eff29b,0,625.0,1
559b8b63fdd4,1,17725.0,2
1034c3ae6e1c,0,2700.0,3
123a00f3f483,1,500.0,0
bfaf04c54b65,0,34000.0,3
13fbf43b205b,1,3375.0,0
57434030b9c7,0,8350.0,1
b96ba753b612,0,1850.0,1
dabc37285000,1,11800.0,2
74939260039f,1,9850.0,1
1eabf20d015e,1,7950.0,2
543a6fae8d9f,0,3100.0,3
ac829b502593,1,4500.0,1
2f0fbda9de70,0,5725.0,3
d3ace9535b8a,1,11125.0,3
5e52d8d13e39,0,3825.0,2
9555583ab061,0,1450.0,0
f9a713df0025,1,11600.0,3
aa99a25cffef,1,9900.0,3
9caf07758650,1,4400.0,2
c03a2b8297e0,0,300.0,0
7b32cb216213,0,2900.0,1
2c4e66700dd9,1,11425.0,3
456694c5404c,0,3750.0,2
39fa10cd7439,1,3375.0,1
9de167271a68,0,1850.0,0
996cd92c3304,0,650.0,2
6641fe418efb,1,6000.0,2
aeef94b41943,1,29050.0,3
ee90610a75b4,0,1750.0,3
fa2659aabf92,0,11800.0,2
09757a0aad09,0,4750.0,3
9e48fe80a04a,1,950.0,0
9b4d6df21954,0,3500.0,1
140b8448307b,1,15225.0,2
cde561dea123,0,17600.0,3
292d43f7402d,1,675.0,1
b5d054874880,1,13500.0,3
2bdb9c444180,0,1750.0,0
174a6da3deb4,1,3700.0,2
8f9864abf3f7,0,3100.0,1
ca445a5c1076,0,700.0,0
b19c3003db6f,0,3275.0,3
a4b566da1492,0,8400.0,0
68bb5c4329c9,1,5500.0,3
c40157031a52,0,3550.0,0
c92af1499c4d,0,14825.0,3
99964f646469,0,1250.0,2
66e26f54df50,0,5650.0,2
7c34921870c3,0,3150.0,0
ad90f832cf46,0,2225.0,3
b6370d975eb0,0,15900.0,3
c7c3db186e06,0,6750.0,0
5fed745a2323,1,4325.0,1
b1b424e347f6,0,9650.0,2
854ff01118c0,0,17225.0,1
a03cf528e6d5,0,2400.0,0
48a68c62692d,0,6850.0,3
42148c5d48cf,0,2550.0,2
f6acbcd3a8f8,1,11900.0,2
a2a521618f22,1,1500.0,1
24dbaab0a03d,0,11800.0,2
0913d55d18ec,1,4000.0,2
190a9e37fa5f,0,1500.0,1
8b7e78784453,0,7400.0,3
a8c3b18e5761,1,4750.0,2
867e03d9e3fd,0,350.0,0
7838a2bf1693,0,1250.0,2
0245965ab3a7,1,11800.0,3
e733235959bb,1,13450.0,2
1da57d20cc7b,1,9050.0,3
6f0075da3660,0,1925.0,0
152676ce93b0,0,8775.0,3
f7ba73dcadf4,0,625.0,1
57adafd08016,0,15625.0,3
7c258190a1ec,0,4750.0,2
28c91474a940,1,21325.0,2
ced1f4f0cd47,1,4875.0,2
7b0db2ba9885,1,6750.0,3
150ad0ffd4a3,1,1500.0,0
85c4cc292452,1,2800.0,1
fbe9ea726816,0,475.0,3
7a27bd060fd2,1,800.0,3
1d9969092ba2,1,6300.0,2
4ed31d0e13b8,0,2375.0,1
a9ce896f3656,1,1875.0,0
646137b356bb,0,8000.0,0
497b4d6b0305,0,1300.0,1
42dd38588089,0,10825.0,1
bfde6a790060,1,26100.0,2
488bda73d4d4,0,1375.0,1
28e11750d1fd,1,4025.0,2
7c581ceed1d8,0,11100.0,2
9f342575199c,0,18950.0,3
75779fbe7052,1,9300.0,2
66773bc6affa,0,1250.0,1
d2b686ddacf9,1,8775.0,3
13fe33c0abb6,0,12300.0,2
5e70e06b3325,0,600.0,1
69745534feb8,1,3375.0,3
89cd55cbd67d,0,850.0,0
52ba18542aa2,1,17000.0,2
bf42839d5cd9,0,1750.0,0
0f87ea90fd8d,0,875.0,0
e13cbb162d6e,1,31200.0,2
5c17ca046653,0,2175.0,0
06fcfb5dbd5c,0,11475.0,3
68d5c8c434da,1,50750.0,3
f459564954c9,0,950.0,0
2b7a2d4a82aa,0,49025.0,1
f87500453250,1,7075.0,2
bc9cb7da1822,1,3300.0,1
63dd8eaf9f32,1,9175.0,3
0583407726cf,0,1250.0,0
6877c332f62d,1,21075.0,3
8396628cd96a,1,1950.0,0
a99f8797d0c8,1,1000.0,0
b5338049a439,0,3875.0,0
e575597d646b,0,150.0,2
9959476ffaf3,1,14800.0,3
a02fd0a09638,0,5625.0,3
ba52be37fd40,0,6000.0,0
d32ab7cd0f63,0,37100.0,2
d1d63270a385,0,6875.0,3
db1a9940e8ba,1,550.0,1
882a60eae1f7,1,9900.0,1
f24a454ca992,0,4975.0,3
05b628ac30e4,1,35000.0,3
ebfcecb334fc,0,700.0,3
55cffdfdccdf,1,18050.0,1
76d3b52bc3f4,1,4125.0,1
1d8cd4090128,1,1075.0,2
8b49380ea7ba,0,4625.0,1
79debc5327d2,0,29950.0,3
c9f0f5aeb223,0,5000.0,0
e63dba6862c8,0,6200.0,1
f1e487f25db2,0,3100.0,0
ae8283d5cb4d,0,200.0,0
d0cb6f1c9a91,1,3350.0,2
5c5dcfb890b7,0,2600.0,0
c7e8a4e4bad4,0,450.0,0
7e6df6b7dd1e,0,2000.0,0
aed0129c62c6,1,2600.0,2
1e565761f9e3,0,4600.0,1
870c322fd2a7,1,6600.0,2
0e1699c0a378,0,9175.0,3
9c7d14cd121d,0,4425.0,1
6029a7291cf7,0,9600.0,3
8d6a51b34ebb,1,17600.0,3
d8565811970d,0,9150.0,3
381c73900fa1,1,5200.0,2
6c77b17ed521,0,4375.0,2
2987c465814e,0,13250.0,2
f76fb55a841d,0,3525.0,2
4e254deedd0d,1,2225.0,0
4fac342d5de1,1,2700.0,3
0a216c572b10,1,7075.0,3
28d4900b773b,1,2825.0,2
70da44420ad5,1,9125.0,0
718ae80fc2c1,1,12875.0,2
dac07852fb1e,0,12350.0,3
939921876087,0,8400.0,2
bf2323dc81fa,0,12175.0,3
6778bc7c3f31,0,3200.0,0
62f9caad1444,1,13850.0,1
9a78a3ffbb49,0,11050.0,2
184acf076d4e,0,425.0,1
6fb13680bd3d,0,2250.0,1
7bd394f8188b,0,0.0,0
ec9e68a8969a,0,800.0,0
c16b53965519,0,1700.0,0
acb1fcb2580d,1,500.0,1
dd905e7ff762,0,5900.0,1
0e435d2edc84,1,13350.0,3
9e785fcddb66,1,825.0,1
1579d42ab0df,1,2400.0,3
7896c820e087,1,9400.0,3
08ecf2ca7a9b,0,450.0,2
53dbfece13dd,0,4600.0,1
9a1fe68d41a6,0,1350.0,3
b19898f76c2f,1,13825.0,3
fbb6f63a9c2e,0,2850.0,0
c4b8ecf35315,1,3100.0,0
b1615cb452f3,1,2275.0,0
20f679c1d1a6,0,1600.0,1
62523706c28b,1,2000.0,0
9ab14461813b,1,13075.0,3
16d3cc1ed8ff,0,12450.0,3
dfeef9127f6b,0,10100.0,1
e70582e0c1f5,1,1600.0,0
7ed4e89fbf5d,1,13225.0,3
7293295fbed8,0,19950.0,3
2b6c3aada491,0,17300.0,2
2309dd62d03e,0,3775.0,2
b7bf62688afe,0,13475.0,1
b8837742d5f5,0,10150.0,1
2994dedc5f32,0,21425.0,3
565c12063e0f,0,3525.0,2
fa6f122f7a10,0,4500.0,1
9543fbee3417,0,5125.0,2
0cee407be4b3,0,5100.0,3
32eb855a995d,0,1775.0,3
29da66465e28,0,7550.0,3
d513ff879c8e,1,900.0,0
1f79c9049460,1,2950.0,3
d67916c25537,1,23025.0,2
fc22e2de9ee6,0,54825.0,3
8a163f3e083e,0,1825.0,1
1d84998d9aef,0,5475.0,2
ef930e228fd9,0,6800.0,0
cf1c73939753,1,1700.0,1
a600504a83e5,1,11000.0,3
19a5e04471b4,1,2900.0,2
6ebe62ff9e2e,0,9700.0,1
49d1cde57fb9,0,9650.0,3
95a892735057,1,34550.0,1
26adca5bd00e,0,2600.0,1
6c16c10bcb0b,0,6500.0,3
6fd64b226713,1,18300.0,2
4a2f263670b5,0,12900.0,3
9472cdff222b,0,1975.0,2
4c9d32e7d2b2,0,13950.0,3
a329d4503528,0,4425.0,0
c0d5d28499bc,0,29825.0,3
71ee99a33a05,0,100.0,2
c01c17b8a62b,1,9850.0,3
c0773dc588ed,1,5200.0,2
24ab66fed215,1,4875.0,2
aedc5e4ce03d,1,10125.0,1
ed9494bc7fb8,1,15850.0,3
53e22489a679,1,13450.0,1
cc117ed9f057,0,3425.0,2
d1efe60dfb79,1,2000.0,0
25e14f774309,1,5050.0,3
834bada03e91,1,800.0,0
eb38b0d53c79,1,4850.0,2
cab8f857d080,0,28275.0,3
5d67985843d0,0,700.0,0
0506de699371,0,1850.0,2
7eefe1fa509a,0,3675.0,3
dbe6d080608e,0,2650.0,2
42f1d05dc0f1,0,30675.0,3
ac7434ac0e18,0,2250.0,0
229f5d58eeb0,1,2200.0,3
094756b116b3,0,4100.0,3
d788e1fe2314,0,7800.0,3
5679d7f05a14,0,1750.0,0
802445f05192,0,9300.0,1
c83ddff9621a,1,35200.0,2
05bb123dfc00,0,4300.0,1
df809f418709,0,1750.0,1
aba051c8dd74,0,25225.0,2
277941eba188,0,200.0,2
5e29c679447c,1,3925.0,1
b60b06542761,0,1775.0,1
a892ab60dca8,0,675.0,2
1b41395261b4,0,5900.0,3
0c4ce7549230,0,975.0,2
ddc7c3ea5729,0,9550.0,1
d0554cd0669e,0,950.0,2
4d7b745867de,0,2250.0,2
18993b33914a,0,4250.0,3
6770134707d4,1,1925.0,0
7b3b839816f8,1,3250.0,2
9136c5bdf714,0,9500.0,3
d55844aca089,0,31600.0,2
14e9f5c0be3e,1,14025.0,2
b37b611f0eca,0,1225.0,0
128a48ec1ec2,0,16925.0,0
2cbb5b77a903,0,21300.0,1
bc00b760ed79,1,6600.0,1
eb1ae982336c,0,14725.0,2
dd3ce9cab90d,1,1100.0,0
169377151fa8,1,3225.0,3
96d484dddee6,0,4225.0,3
422ae668632b,0,3575.0,1
c90edc2e58f1,1,3625.0,1
3cb4a9b0072e,1,8150.0,3
c8478d19d949,0,3050.0,0
087ffb6b79c4,1,16425.0,3
ff05d537e2f5,0,39725.0,3
fdeb3ae32c8e,1,19925.0,1
40fe5d76a4a1,0,8750.0,3
71cc6aaea762,0,12375.0,2
df5013bbfcf0,1,7950.0,3
5842a3e67249,1,3200.0,2
9013ca64ecd3,1,1325.0,0
d858c2bb5793,1,4325.0,0
70dc28a7fc7a,1,6675.0,3
91b72dccf1db,0,1525.0,2
cf15ad05c435,0,50.0,0
0170f49157b8,0,5400.0,2
6fe81446770d,0,750.0,1
37ab0e4ac367,1,3825.0,1
28fd3d358d11,1,12825.0,3
b08c5ce29781,0,3800.0,2
ef15def1e582,0,4475.0,2
cdc3db4272ce,1,23525.0,2
612b6546e5eb,0,450.0,0
fdbd6efc57c1,0,27550.0,3
7ded7fc46f95,0,11250.0,1
b54b23edfc06,0,13775.0,3
